source	path	upstream_delta	project_relation	resolution	disposition	rationale
bup-union	_docs/archives/draft/.gitkeep	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_docs/archives/draft/Site/otibo-dev-site-purpose/notes.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/archives/draft/Site/visual-canon-translation/notes.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/archives/draft/Site/visual-canon/notes.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/archives/plan/.gitkeep	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
migration-created	_docs/archives/plan/Workflow/docs-template-v1-2-migration/plan.md	unchanged	project-only	apply	migration-evidence	Migration_contract_or_verification_artifact
bup-union	_docs/archives/plan/Workflow/docs-template-v1-migration/plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/archives/plan/Workflow/docs-template-version-migration/plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/archives/survey/.gitkeep	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_docs/documentation_guide.md	modified	upstream-owned-unmodified	apply	applied	Applied_upstream_update
bup-union	_docs/draft/.gitkeep	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_docs/draft/Legal/legal-pages/medo-account-deletion.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/draft/Legal/legal-pages/medo-privacy.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/draft/Legal/legal-pages/medo-terms.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/draft/Legal/legal-pages/tokushoho.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/draft/Site/first-view-light-shader-agent-handoff/notes.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/draft/Site/otibo-light-shader-handoff/assets/layered-v5-comparison.png	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/draft/Site/otibo-light-shader-handoff/assets/layered-v5-desktop.jpg	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/draft/Site/otibo-light-shader-handoff/assets/layered-v5-mobile.jpg	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/draft/Site/otibo-light-shader-handoff/notes.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/draft/Site/top-page-exhibition/notes.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/guide/.gitkeep	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_docs/guide/Site/visual-canon/usage.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/intent/.gitkeep	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_docs/intent/App/otibo-ui-0-3-migration/decision.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/intent/App/scaffold/decision.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/intent/App/top-page-initial/decision.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/intent/App/ui-integration/decision.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/intent/App/workers-static-export-next16/decision.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/intent/Legal/legal-pages/decision.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/intent/Site/design-system-full-adoption/decision.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/intent/Site/first-view-light-shader/decision.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/intent/Site/otibo-dev-site-purpose/decision.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/intent/Site/top-page-rebuild/decision.md	unchanged	project-only	keep	retained	Project_only_path
migration-created	_docs/intent/Workflow/docs-template-v1-2-migration/decision.md	unchanged	project-only	apply	migration-evidence	Migration_contract_or_verification_artifact
bup-union	_docs/intent/Workflow/docs-template-v1-migration/decision.md	unchanged	project-only	merge	migration-adjusted	Migration_contract_or_evidence_update
bup-union	_docs/intent/Workflow/docs-template-version-migration/decision.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/intent/Workflow/lifecycle-self-audit/decision.md	removed	customized-shared	keep	already-absent	Upstream_removed_path_not_present_in_project
bup-union	_docs/intent/Workflow/temporary-workers-preview-skill/decision.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/plan/.gitkeep	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_docs/plan/App/otibo-ui-0-3-migration/plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/plan/App/scaffold/plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/plan/App/top-page-initial/plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/plan/App/ui-integration/plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/plan/App/workers-static-export-next16/plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/plan/Legal/legal-pages/plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/plan/Site/design-system-full-adoption/plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/plan/Site/first-view-light-shader/plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/plan/Site/top-page-rebuild/plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/plan/Workflow/lifecycle-self-audit/plan.md	removed	customized-shared	keep	already-absent	Upstream_removed_path_not_present_in_project
bup-union	_docs/plan/Workflow/temporary-workers-preview-skill/plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/.gitkeep	unchanged	upstream-owned-unmodified	keep	retained	No_upstream_change
bup-union	_docs/qa/App/otibo-ui-0-3-migration/test-plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/App/otibo-ui-0-3-migration/verification.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/App/scaffold/test-plan.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/App/scaffold/verification.md	unchanged	project-only	keep	retained	Project_only_path
bup-union	_docs/qa/App/top-page-initial/test-plan.md	unchanged	project-only	keep	retained	Project_only_path
