source	path	upstream_delta	project_relation	resolution	status	rationale
inherited	_docs/qa/Workflow/docs-template-v1-2-migration/artifacts/inventory.tsv	unchanged	prior-reviewed-union	keep	retained	259 prior B/U/P rows remain the baseline for paths unchanged after v1.2 adoption
upstream-v1.3	_docs/documentation_guide.md	modified	upstream-owned-unmodified	apply	applied	Local hash equals v1.2.0
upstream-v1.3	_docs/standards/documentation_operations.md	modified	upstream-owned-unmodified	apply	applied	Local hash equals v1.2.0
upstream-v1.3	_docs/standards/quality_assurance.md	modified	upstream-owned-unmodified	apply	applied	Local hash equals v1.2.0
upstream-v1.3	_docs/standards/templates/qa-test-plan.md	modified	upstream-owned-unmodified	apply	applied	Local hash equals v1.2.0
upstream-v1.3	_docs/standards/templates/qa-verification.md	modified	upstream-owned-unmodified	apply	applied	Local hash equals v1.2.0
upstream-v1.3	_evals/agent-workflows/README.md	modified	upstream-owned-unmodified	apply	applied	Local hash equals v1.2.0
upstream-v1.3	_evals/agent-workflows/cases/transferable-principle-skip.md	added	upstream-owned-unmodified	apply	applied	New consumer contract path
upstream-v1.3	_evals/agent-workflows/expected-invariants.md	modified	upstream-owned-unmodified	apply	applied	Local hash equals v1.2.0
upstream-v1.3	_evals/validator-fixtures/frontmatter/valid/qa-schema-v3.md	added	upstream-owned-unmodified	apply	applied	New consumer contract path
upstream-v1.3	_evals/validator-fixtures/qa/invalid/v3-bare-none-transferable-principles.md	added	upstream-owned-unmodified	apply	applied	New consumer contract path
upstream-v1.3	_evals/validator-fixtures/qa/invalid/v3-missing-transferable-principles.md	added	upstream-owned-unmodified	apply	applied	New consumer contract path
upstream-v1.3	_evals/validator-fixtures/qa/valid/verification-v3-none-with-reason.md	added	upstream-owned-unmodified	apply	applied	New consumer contract path
upstream-v1.3	_evals/validator-fixtures/qa/valid/verification-v3-transferable-principles.md	added	upstream-owned-unmodified	apply	applied	New consumer contract path
upstream-v1.3	docs-template.lock.example.json	modified	upstream-owned-unmodified	apply	applied	Local hash equals v1.2.0
upstream-v1.3	scripts/test-agent-workflow-smoke.ts	modified	upstream-owned-unmodified	apply	applied	Local hash equals v1.2.0
upstream-v1.3	scripts/test-validators.ts	modified	upstream-owned-unmodified	apply	applied	Local hash equals v1.2.0
upstream-v1.3	scripts/validate-frontmatter.ts	modified	upstream-owned-unmodified	apply	applied	Local hash equals v1.2.0
upstream-v1.3	scripts/validate-qa.ts	modified	upstream-owned-unmodified	apply	applied	Local hash equals v1.2.0
upstream-v1.3	.agents/skills/docs-prep/SKILL.md	modified	upstream-owned-unmodified	apply	applied	Mapped from starter and local hash equals v1.2.0
upstream-v1.3	.agents/skills/post-implementation/SKILL.md	modified	upstream-owned-unmodified	apply	applied	Mapped from starter and local hash equals v1.2.0
upstream-v1.3	.agents/skills/qa-prep/SKILL.md	modified	upstream-owned-unmodified	apply	applied	Mapped from starter and local hash equals v1.2.0
